sexo;idade;uf;situacao_funcional;pmt_valor;margem_saldo;conceder
MASCULINO;53;RJ;APOSENTADO;222.00;1904.56;0
MASCULINO;83;BA;APOSENTADO;185.19;10444.29;0
FEMININO;52;PA;ATIVO PERMANENTE;4182.99;29572.48;0
MASCULINO;80;RR;APOSENTADO;3662.93;35493.26;0
FEMININO;79;CE;APOSENTADO;148.42;6118.96;0
MASCULINO;40;DF;ATIVO PERMANENTE;489.58;3061.93;0
MASCULINO;47;MG;ATIVO PERMANENTE;137.71;5038.96;0
MASCULINO;78;CE;APOSENTADO;3351.12;7158.19;0
MASCULINO;39;RS;ATIVO PERMANENTE;963.03;5815.38;0
FEMININO;62;SP;APOSENTADO;1584.00;5199.20;0
FEMININO;38;RS;ATIVO PERMANENTE;2563.29;8481.60;0
FEMININO;78;PA;BENEFICIARIO PENSAO;6166.80;14379.20;0
FEMININO;38;GO;ATIVO PERMANENTE;1521.78;7132.77;0
FEMININO;39;RS;CELETISTA EMPREGADO;3123.36;5260.97;0
MASCULINO;81;MG;APOSENTADO;261.42;2044.09;0
FEMININO;47;MG;ATIVO PERMANENTE;3672.23;5784.87;0
FEMININO;81;RJ;BENEFICIARIO PENSAO;295.82;2632.74;0
FEMININO;39;RS;ATIVO PERMANENTE;909.90;4960.65;0
FEMININO;39;SC;ATIVO PERMANENTE;599.46;4577.21;0
FEMININO;75;DF;APOSENTADO;431.12;7123.62;0
FEMININO;55;BA;BENEFICIARIO PENSAO;1060.18;2418.52;0
FEMININO;79;CE;APOSENTADO;395.73;22075.74;0
FEMININO;69;SP;APOSENTADO;2083.38;4742.52;0
MASCULINO;40;RS;ATIVO PERMANENTE;3018.02;10144.72;0
FEMININO;80;BA;APOSENTADO;116.22;12964.80;0
FEMININO;33;PI;ATIVO PERMANENTE;68.68;2494.76;0
FEMININO;38;MS;ATIVO PERMANENTE;1568.97;6150.36;0
MASCULINO;80;CE;APOSENTADO;3656.26;12296.04;0
FEMININO;29;PA;ATIVO PERMANENTE;728.86;7154.68;0
FEMININO;80;CE;APOSENTADO;187.66;9547.58;0
FEMININO;73;AM;APOSENTADO;124.33;3085.63;0
MASCULINO;67;CE;CEDIDO SUS LEI 8270;1258.94;3445.19;0
MASCULINO;31;AC;ATIVO PERMANENTE;327.15;2784.15;0
MASCULINO;39;SP;ATIVO PERMANENTE;108.34;3753.09;0
FEMININO;43;RS;ATIVO PERMANENTE;2863.93;14749.77;0
MASCULINO;36;AM;ATIVO PERMANENTE;1554.95;30340.98;0
MASCULINO;81;PE;APOSENTADO;3251.98;10418.84;0
FEMININO;80;PR;BENEFICIARIO PENSAO;137.44;2769.66;0
MASCULINO;34;DF;ATIVO PERMANENTE;4281.92;5946.06;0
MASCULINO;37;DF;ATIVO PERMANENTE;869.02;17872.35;0
MASCULINO;45;RS;ATIVO PERMANENTE;934.47;5652.32;0
FEMININO;33;DF;ATIVO PERMANENTE;1382.89;11761.47;0
FEMININO;82;MG;APOSENTADO;3276.62;20182.50;0
FEMININO;79;BA;APOSENTADO;185.20;8463.10;0
FEMININO;78;SP;APOSENTADO;4794.29;7784.22;0
MASCULINO;31;AM;ATIVO PERMANENTE;1940.00;4635.60;0
FEMININO;45;SP;ATIVO PERMANENTE;915.72;16749.66;0
MASCULINO;46;SC;CELETISTA EMPREGADO;1461.88;7070.62;0
FEMININO;55;RJ;ATIVO PERMANENTE;6803.06;16938.22;0
MASCULINO;54;RJ;CEDIDO SUS LEI 8270;1527.67;6559.40;0
FEMININO;38;TO;ATIVO PERMANENTE;2349.20;10791.66;0
FEMININO;84;BA;APOSENTADO;67.90;3109.06;0
FEMININO;73;RJ;APOSENTADO;12988.75;24782.79;0
MASCULINO;55;PR;ATIVO PERMANENTE;1232.62;8172.51;0
MASCULINO;36;DF;ATIVO PERMANENTE;887.61;15577.24;0
FEMININO;79;DF;BENEFICIARIO PENSAO;3517.37;19694.97;0
FEMININO;84;BA;APOSENTADO;530.92;13152.52;0
MASCULINO;51;RJ;ATIVO PERMANENTE;2647.72;34050.84;0
FEMININO;83;RJ;BENEFICIARIO PENSAO;38.52;8477.14;0
FEMININO;83;SP;APOSENTADO;382.24;10934.96;0
FEMININO;70;RJ;BENEFICIARIO PENSAO;133.16;4054.10;0
FEMININO;73;SE;APOSENTADO;232.08;6963.15;0
FEMININO;77;AC;APOSENTADO;2192.52;5571.92;0
MASCULINO;53;PE;ATIVO PERMANENTE;100.43;4002.60;0
FEMININO;66;MG;BENEFICIARIO PENSAO;806.20;6950.50;0
MASCULINO;42;RS;ATIVO PERMANENTE;1362.16;2839.26;0
FEMININO;35;CE;ATIVO PERMANENTE;236.00;7080.06;0
MASCULINO;48;MG;ATIVO PERMANENTE;2724.40;9804.80;0
FEMININO;84;MG;APOSENTADO;101.80;4122.24;0
MASCULINO;78;CE;APOSENTADO;261.42;3756.10;0
FEMININO;77;RO;APOSENTADO;948.56;10772.95;0
FEMININO;80;CE;BENEFICIARIO PENSAO;3154.40;4716.00;0
MASCULINO;39;DF;ATIVO PERMANENTE;129.62;6351.38;0
FEMININO;48;MG;ATIVO PERMANENTE;363.96;8725.92;0
FEMININO;40;RS;ATIVO PERMANENTE;3033.96;5427.15;0
FEMININO;53;RJ;ATIVO PERMANENTE;465.54;1051.20;0
FEMININO;81;BA;APOSENTADO;345.10;12952.56;0
FEMININO;40;RS;CELETISTA EMPREGADO;1391.67;3102.01;0
MASCULINO;39;SC;ATIVO PERMANENTE;979.72;2881.70;0
MASCULINO;67;SP;APOSENTADO;3060.00;6253.23;0
FEMININO;69;RS;APOSENTADO;2466.36;5751.52;0
MASCULINO;79;CE;APOSENTADO;8598.00;34467.15;0
MASCULINO;63;SP;CEDIDO SUS LEI 8270;90.00;6525.27;0
FEMININO;80;BA;APOSENTADO;102.90;3605.88;0
FEMININO;61;SP;APOSENTADO;3147.67;11412.99;0
MASCULINO;79;RJ;APOSENTADO;248.67;16314.54;0
FEMININO;79;PA;APOSENTADO;1908.73;5676.49;0
FEMININO;38;MS;ATIVO PERMANENTE;4342.06;7340.10;0
FEMININO;38;RS;ATIVO PERMANENTE;498.16;2354.59;0
FEMININO;37;MA;ATIVO PERMANENTE;66.30;2663.47;0
MASCULINO;52;RJ;ATIVO PERMANENTE;727.15;10430.52;0
FEMININO;37;MT;ATIVO PERMANENTE;1650.29;11091.47;0
FEMININO;31;PA;ATIVO PERMANENTE;111.43;1760.11;0
MASCULINO;36;SP;ATIVO PERMANENTE;323.02;5382.92;0
FEMININO;82;PA;APOSENTADO;6774.95;17204.99;0
FEMININO;36;DF;ATIVO PERMANENTE;1117.04;1794.41;0
FEMININO;77;PA;APOSENTADO;432.42;12973.32;0
MASCULINO;35;DF;ATIVO PERMANENTE;1074.54;17710.06;0
FEMININO;53;RJ;BENEFICIARIO PENSAO;603.46;1578.04;0
MASCULINO;37;DF;ATIVO PERMANENTE;149.52;3888.09;0
FEMININO;55;RJ;BENEFICIARIO PENSAO;1814.56;10234.80;0
FEMININO;74;RJ;BENEFICIARIO PENSAO;229.44;795.72;0
FEMININO;38;PI;ATIVO PERMANENTE;468.55;2023.28;0
FEMININO;37;RS;ATIVO PERMANENTE;265.46;7964.10;0
MASCULINO;81;PA;APOSENTADO;111.66;5394.95;0
MASCULINO;53;RJ;APOSENTADO;309.36;8971.71;0
FEMININO;82;CE;APOSENTADO;372.99;7812.72;0
FEMININO;31;CE;ATIVO PERMANENTE;7353.43;12327.50;0
FEMININO;56;PE;ATIVO PERMANENTE;1198.60;25672.12;0
MASCULINO;39;RS;ATIVO PERMANENTE;255.26;7657.80;0
FEMININO;38;RS;ATIVO PERMANENTE;571.41;1796.38;0
MASCULINO;53;RJ;CEDIDO SUS LEI 8270;1315.14;4013.14;0
FEMININO;57;RJ;BENEFICIARIO PENSAO;399.68;543.50;0
FEMININO;78;CE;APOSENTADO;546.08;16382.22;0
FEMININO;78;CE;APOSENTADO;248.66;2728.88;0
FEMININO;39;RS;ATIVO PERMANENTE;179.45;5383.74;0
FEMININO;82;CE;BENEFICIARIO PENSAO;186.44;5009.36;0
FEMININO;47;MG;NAO INFORMADO;1270.82;4817.42;0
MASCULINO;39;RS;ATIVO PERMANENTE;104.04;3121.38;0
MASCULINO;39;SC;ATIVO PERMANENTE;2084.70;5407.86;0
FEMININO;39;RS;CELETISTA EMPREGADO;542.41;2161.32;0
FEMININO;83;CE;APOSENTADO;696.76;4553.16;0
FEMININO;38;MT;ATIVO PERMANENTE;201.24;6239.32;0
FEMININO;41;SP;ATIVO PERMANENTE;999.02;9950.20;0
FEMININO;38;MT;CELETISTA EMPREGADO;1283.04;5552.62;0
MASCULINO;38;RS;ATIVO PERMANENTE;1234.04;11975.24;0
FEMININO;38;MT;ATIVO PERMANENTE;1099.40;2735.59;0
MASCULINO;38;RS;ATIVO PERMANENTE;2672.80;4772.19;0
FEMININO;56;RJ;ATIVO PERMANENTE;6220.58;22523.21;0
FEMININO;45;PA;ATIVO PERMANENTE;6842.58;17457.03;0
MASCULINO;38;MA;CELETISTA EMPREGADO;1362.10;2113.48;0
FEMININO;76;MG;APOSENTADO;2192.11;4497.96;0
MASCULINO;37;CE;ATIVO PERMANENTE;118.00;2716.29;0
FEMININO;64;SP;APOSENTADO;3278.40;6073.80;0
MASCULINO;47;MG;ATIVO PERMANENTE;78.03;2341.03;0
FEMININO;76;PA;APOSENTADO;2283.08;9157.60;0
FEMININO;80;PE;APOSENTADO;783.14;2989.20;0
FEMININO;83;CE;APOSENTADO;3104.81;40058.04;0
MASCULINO;77;PA;APOSENTADO;548.36;2497.12;0
FEMININO;78;PA;APOSENTADO;120.36;3611.61;0
MASCULINO;83;MG;APOSENTADO;18.00;1622.66;0
FEMININO;82;BA;BENEFICIARIO PENSAO;811.94;2391.72;0
FEMININO;38;GO;BENEFICIARIO PENSAO;595.00;3544.18;0
MASCULINO;83;PA;APOSENTADO;947.42;83962.55;0
FEMININO;71;SP;APOSENTADO;337.94;1940.38;0
MASCULINO;79;PA;APOSENTADO;337.94;1187.32;0
FEMININO;84;CE;APOSENTADO;16.76;5218.12;0
FEMININO;67;SP;APOSENTADO;822.54;3887.55;0
FEMININO;39;PR;ATIVO PERMANENTE;1116.84;2853.42;0
MASCULINO;32;AP;ATIVO PERMANENTE;3063.95;41829.64;0
MASCULINO;38;DF;ATIVO PERMANENTE;777.70;8793.16;0
FEMININO;81;CE;APOSENTADO;194.64;11861.40;0
MASCULINO;46;DF;ATIVO PERMANENTE;2042.61;59009.63;0
FEMININO;62;RJ;ATIVO PERMANENTE;305.12;4104.20;0
MASCULINO;77;PA;APOSENTADO;10425.29;31379.28;0
FEMININO;74;SP;BENEFICIARIO PENSAO;4945.21;47614.20;0
MASCULINO;36;DF;ATIVO PERMANENTE;3992.74;20847.97;0
FEMININO;81;RS;APOSENTADO;4376.53;8975.73;0
MASCULINO;37;DF;ATIVO PERMANENTE;6029.12;13139.60;0
FEMININO;36;DF;ATIVO PERMANENTE;1820.78;9856.45;0
FEMININO;31;RO;ATIVO PERMANENTE;1275.28;2628.56;0
FEMININO;31;AP;ATIVO PERMANENTE;989.16;6672.08;0
FEMININO;82;CE;APOSENTADO;1797.80;3620.10;0
MASCULINO;47;MG;ATIVO PERMANENTE;848.62;2546.64;0
FEMININO;73;RJ;APOSENTADO;267.20;11322.12;0
FEMININO;37;SP;ATIVO PERMANENTE;4504.45;6963.86;0
FEMININO;38;MS;ATIVO PERMANENTE;345.10;10353.34;0
FEMININO;82;CE;APOSENTADO;4118.48;6961.32;0
FEMININO;51;ES;ATIVO PERMANENTE;3967.00;10007.61;0
FEMININO;39;RS;ATIVO PERMANENTE;7188.98;12637.77;0
MASCULINO;50;RJ;ATIVO PERMANENTE;2208.09;6222.80;0
FEMININO;40;SE;CELETISTA EMPREGADO;100.00;1060.66;0
FEMININO;31;AP;ATIVO PERMANENTE;984.42;1637.82;0
MASCULINO;47;MG;ATIVO PERMANENTE;1388.22;9556.39;0
FEMININO;37;MA;CELETISTA EMPREGADO;472.13;819.68;0
FEMININO;46;DF;ATIVO PERMANENTE;779.55;4722.59;0
MASCULINO;66;MG;APOSENTADO;487.61;1473.78;0
MASCULINO;82;PA;APOSENTADO;387.17;12864.19;0
MASCULINO;62;SP;APOSENTADO;411.27;4312.74;0
FEMININO;82;RJ;APOSENTADO;274.18;2887.00;0
FEMININO;55;RJ;ATIVO PERMANENTE;649.84;1974.44;0
FEMININO;84;RJ;APOSENTADO;218.20;3692.21;0
FEMININO;41;BA;ATIVO PERMANENTE;4029.32;6738.16;0
FEMININO;38;RS;ATIVO PERMANENTE;2398.45;4805.66;0
FEMININO;54;ES;ATIVO PERMANENTE;4336.26;8571.64;0
MASCULINO;35;SP;ATIVO PERMANENTE;8546.58;12478.26;0
MASCULINO;39;RS;ATIVO PERMANENTE;372.04;11161.24;0
MASCULINO;81;PA;APOSENTADO;194.22;5826.77;0
FEMININO;39;RS;ATIVO PERMANENTE;77.44;2891.69;0
FEMININO;53;RJ;APOSENTADO;836.12;13557.06;0
MASCULINO;43;MG;ATIVO PERMANENTE;856.44;2301.03;0
MASCULINO;51;RJ;ATIVO PERMANENTE;1303.20;9464.28;0
MASCULINO;38;GO;ATIVO PERMANENTE;3715.65;10223.72;0
FEMININO;37;DF;ATIVO PERMANENTE;3733.23;5711.94;0
MASCULINO;49;PE;BENEFICIARIO PENSAO;8374.98;12243.45;0
FEMININO;38;PI;CELETISTA EMPREGADO;107.34;487.84;0
FEMININO;48;MG;ATIVO PERMANENTE;869.48;1963.35;0
FEMININO;52;RJ;ATIVO PERMANENTE;72.08;4539.12;0
FEMININO;74;SP;BENEFICIARIO PENSAO;1837.19;3477.00;0
MASCULINO;80;CE;APOSENTADO;45.31;1832.74;0
FEMININO;52;RJ;ATIVO PERMANENTE;277.80;8334.54;0
FEMININO;59;RJ;ATIVO PERMANENTE;4655.47;7763.92;0
MASCULINO;40;BA;ATIVO PERMANENTE;589.42;10608.76;0
FEMININO;82;MG;APOSENTADO;2829.34;4853.05;0
FEMININO;39;RS;ATIVO PERMANENTE;598.90;3604.44;0
FEMININO;84;CE;APOSENTADO;1354.66;8355.89;0
FEMININO;38;RS;ATIVO PERMANENTE;1499.60;2182.03;0
MASCULINO;37;SC;ATIVO PERMANENTE;4376.80;7202.15;0
FEMININO;65;RJ;APOSENTADO;156.06;4557.45;0
MASCULINO;46;SP;ATIVO PERMANENTE;5320.14;12549.39;0
FEMININO;40;BA;ATIVO PERMANENTE;6354.92;69513.95;0
FEMININO;53;RJ;BENEFICIARIO PENSAO;2228.14;12217.56;0
FEMININO;30;AP;ATIVO PERMANENTE;1735.22;2367.12;0
FEMININO;38;RS;CELETISTA EMPREGADO;1395.70;6325.30;0
FEMININO;37;MG;ATIVO PERMANENTE;3203.64;36645.87;0
FEMININO;37;CE;ATIVO PERMANENTE;1633.84;30866.11;0
MASCULINO;80;CE;APOSENTADO;280.07;4351.30;0
MASCULINO;83;PE;APOSENTADO;1039.96;14652.26;0
FEMININO;50;ES;ATIVO PERMANENTE;690.20;20706.68;0
MASCULINO;36;MT;ATIVO PERMANENTE;2743.45;5078.71;0
FEMININO;52;ES;ATIVO PERMANENTE;518.72;1469.05;0
MASCULINO;77;PA;APOSENTADO;84.76;2514.94;0
MASCULINO;52;RJ;ATIVO PERMANENTE;1620.15;26304.48;0
MASCULINO;37;GO;ATIVO PERMANENTE;606.16;2490.86;0
MASCULINO;38;RS;ATIVO PERMANENTE;819.12;24573.33;0
FEMININO;41;DF;ATIVO PERMANENTE;552.26;14075.04;0
FEMININO;38;MG;ATIVO PERMANENTE;641.45;11390.29;0
FEMININO;37;RS;ATIVO PERMANENTE;1184.45;3052.62;0
MASCULINO;84;MG;APOSENTADO;46.00;7558.34;0
MASCULINO;82;BA;APOSENTADO;103.44;3790.22;0
FEMININO;80;CE;BENEFICIARIO PENSAO;337.94;2335.82;0
FEMININO;37;GO;ATIVO PERMANENTE;4799.79;10089.44;0
FEMININO;35;DF;ATIVO PERMANENTE;2476.58;10314.83;0
FEMININO;34;MT;ATIVO PERMANENTE;4973.46;13945.38;0
MASCULINO;81;RS;APOSENTADO;197.04;6600.83;0
MASCULINO;47;PR;ATIVO PERMANENTE;2957.70;27772.26;0
MASCULINO;79;PA;APOSENTADO;1425.34;2278.24;0
FEMININO;82;BA;APOSENTADO;418.52;17445.02;0
FEMININO;37;AM;ATIVO PERMANENTE;2309.14;5321.51;0
FEMININO;36;MS;ATIVO PERMANENTE;2705.07;7413.60;0
MASCULINO;62;SP;APOSENTADO;1862.35;4537.28;0
FEMININO;34;DF;NOMEADO CARGO COMIS;737.47;1726.35;0
MASCULINO;81;RS;APOSENTADO;124.33;2252.52;0
MASCULINO;47;MG;ATIVO PERMANENTE;6163.16;27097.89;0
FEMININO;81;CE;APOSENTADO;175.50;9135.84;0
MASCULINO;39;RS;ATIVO PERMANENTE;162.18;2712.71;0
FEMININO;30;DF;ATIVO PERMANENTE;875.29;8010.66;0
FEMININO;33;CE;BENEFICIARIO PENSAO;994.10;1530.16;0
FEMININO;80;PA;BENEFICIARIO PENSAO;3312.16;16039.56;0
FEMININO;45;PB;CELETISTA EMPREGADO;3068.68;18534.73;0
FEMININO;47;PB;ATIVO PERMANENTE;923.20;2068.69;0
MASCULINO;43;MG;ATIVO PERMANENTE;1571.66;30868.68;0
FEMININO;52;CE;ATIVO PERMANENTE;1707.78;3651.16;0
FEMININO;57;RJ;CEDIDO SUS LEI 8270;2573.49;11783.80;0
FEMININO;81;PB;BENEFICIARIO PENSAO;6657.92;12369.60;0
MASCULINO;55;GO;BENEFICIARIO PENSAO;323.58;3356.48;0
MASCULINO;46;PB;ATIVO PERMANENTE;382.08;20059.83;0
MASCULINO;39;RS;ATIVO PERMANENTE;176.97;8069.94;0
MASCULINO;82;PA;APOSENTADO;441.42;14101.88;0
MASCULINO;69;AC;APOSENTADO;98.88;2966.94;0
MASCULINO;80;BA;APOSENTADO;85.59;4334.76;0
MASCULINO;81;MG;APOSENTADO;522.84;4376.66;0
MASCULINO;38;TO;ATIVO PERMANENTE;2271.00;29976.30;0
FEMININO;39;AP;ATIVO PERMANENTE;3656.45;13438.35;0
MASCULINO;40;BA;ATIVO PERMANENTE;473.12;7490.98;0
FEMININO;37;MS;CELETISTA EMPREGADO;261.10;8414.25;0
FEMININO;77;RJ;APOSENTADO;461.79;3869.77;0
MASCULINO;80;PR;APOSENTADO;3347.45;16958.64;0
FEMININO;35;SP;ATIVO PERMANENTE;1583.07;42804.86;0
FEMININO;37;RS;ATIVO PERMANENTE;876.97;6321.09;0
MASCULINO;81;CE;APOSENTADO;8977.90;13041.40;0
FEMININO;38;RS;ATIVO PERMANENTE;1497.81;4225.84;0
FEMININO;36;DF;ATIVO PERMANENTE;982.83;6937.46;0
FEMININO;52;RJ;ATIVO PERMANENTE;2239.63;6776.10;0
FEMININO;76;PA;APOSENTADO;130.38;3792.12;0
MASCULINO;25;GO;NOMEADO CARGO COMIS;1578.45;31725.23;0
FEMININO;74;MG;BENEFICIARIO PENSAO;1630.22;6071.04;0
FEMININO;60;RJ;CEDIDO SUS LEI 8270;435.89;4898.10;0
FEMININO;81;MG;APOSENTADO;1102.50;22824.90;0
MASCULINO;36;DF;ATIVO PERMANENTE;3211.35;8561.04;0
MASCULINO;52;RJ;ATIVO PERMANENTE;92.28;2453.42;0
MASCULINO;82;PA;APOSENTADO;5600.34;40834.55;0
MASCULINO;40;BA;ATIVO PERMANENTE;4702.80;13965.95;0
FEMININO;78;PA;APOSENTADO;95.55;2866.98;0
MASCULINO;78;RS;APOSENTADO;10253.32;66799.95;0
FEMININO;83;RS;APOSENTADO;1307.10;27517.64;0
FEMININO;83;PA;APOSENTADO;522.84;4927.93;0
FEMININO;72;RJ;BENEFICIARIO PENSAO;337.94;2216.64;0
FEMININO;36;PA;ATIVO PERMANENTE;3721.07;14422.56;0
FEMININO;82;PA;APOSENTADO;218.04;7072.36;0
FEMININO;38;SP;ATIVO PERMANENTE;409.43;1042.83;0
MASCULINO;82;PA;APOSENTADO;66.57;3674.38;0
FEMININO;69;RJ;BENEFICIARIO PENSAO;577.22;2708.40;0
FEMININO;39;DF;ATIVO PERMANENTE;247.60;2710.19;0
MASCULINO;40;RS;ATIVO PERMANENTE;3396.98;9336.06;0
FEMININO;39;BA;ATIVO PERMANENTE;2768.07;8104.86;0
FEMININO;81;PA;APOSENTADO;1405.67;2162.36;0
FEMININO;31;MT;ATIVO PERMANENTE;1087.55;5360.63;0
FEMININO;37;GO;ATIVO PERMANENTE;846.87;3848.82;0
MASCULINO;37;RS;ATIVO PERMANENTE;4502.65;13947.60;0
FEMININO;38;RS;ATIVO PERMANENTE;526.48;4468.33;0
FEMININO;36;PI;ATIVO PERMANENTE;450.74;1773.50;0
FEMININO;31;MT;ATIVO PERMANENTE;921.41;2395.17;0
MASCULINO;39;RS;ATIVO PERMANENTE;1840.01;31049.60;0
FEMININO;52;RJ;ATIVO PERMANENTE;441.68;3010.30;0
FEMININO;83;PA;BENEFICIARIO PENSAO;2955.51;22999.14;0
FEMININO;82;MG;APOSENTADO;1082.54;9226.65;0
FEMININO;67;SP;APOSENTADO;130.71;1630.35;0
MASCULINO;37;CE;ATIVO PERMANENTE;1299.96;1986.18;0
MASCULINO;38;BA;ATIVO PERMANENTE;1379.07;8527.98;0
MASCULINO;81;PA;APOSENTADO;1576.56;5030.80;0
FEMININO;55;RJ;BENEFICIARIO PENSAO;1077.48;4863.04;0
FEMININO;52;RJ;CLT ANS DEC 6657 08;65.22;1956.75;0
FEMININO;64;SP;APOSENTADO;5431.17;8339.75;0
FEMININO;33;AL;ATIVO PERMANENTE;440.93;5238.91;0
MASCULINO;54;PB;ATIVO PERMANENTE;1428.90;6396.06;0
FEMININO;72;RJ;BENEFICIARIO PENSAO;608.00;1340.44;0
MASCULINO;52;AC;ATIVO PERMANENTE;79.40;2382.28;0
MASCULINO;40;RS;ATIVO PERMANENTE;1584.03;2237.60;0
MASCULINO;79;PA;APOSENTADO;574.78;2745.38;0
FEMININO;83;RJ;APOSENTADO;540.75;5024.58;0
FEMININO;38;DF;ATIVO PERMANENTE;204.00;14957.52;0
MASCULINO;73;PE;APOSENTADO;3113.50;12722.66;0
FEMININO;84;PA;APOSENTADO;3018.87;48803.73;0
MASCULINO;64;MG;ANIST PUBLICO L10559;909.80;7351.61;0
FEMININO;33;GO;ATIVO PERMANENTE;1225.97;2112.37;0
MASCULINO;34;GO;ATIVO PERMANENTE;1960.21;3978.20;0
FEMININO;79;RJ;BENEFICIARIO PENSAO;1569.92;3872.52;0
MASCULINO;36;SP;ATIVO PERMANENTE;1337.86;5751.57;0
MASCULINO;39;RS;CELETISTA EMPREGADO;2775.40;10290.15;0
FEMININO;84;DF;APOSENTADO;1778.66;24974.85;0
FEMININO;37;PI;CELETISTA EMPREGADO;1178.42;4131.28;0
FEMININO;77;PE;APOSENTADO;7872.14;28431.48;0
FEMININO;62;DF;BENEFICIARIO PENSAO;1014.94;2392.77;0
MASCULINO;52;MS;ATIVO PERMANENTE;3192.82;5859.30;0
MASCULINO;37;DF;ATIVO PERMANENTE;1305.58;21205.56;0
FEMININO;83;CE;APOSENTADO;2785.44;4990.19;0
FEMININO;38;GO;ATIVO PERMANENTE;835.64;2249.54;0
MASCULINO;29;PA;ATIVO PERMANENTE;472.78;737.95;0
MASCULINO;78;MG;APOSENTADO;18.00;1095.91;0
MASCULINO;47;PB;ATIVO PERMANENTE;3041.32;17587.32;0
MASCULINO;44;SP;ATIVO PERMANENTE;3634.38;11497.43;0
FEMININO;81;PB;BENEFICIARIO PENSAO;238.65;981.87;0
FEMININO;83;CE;APOSENTADO;1573.41;14867.34;0
MASCULINO;54;RJ;ATIVO PERMANENTE;1545.34;11835.44;0
FEMININO;39;SE;ATIVO PERMANENTE;647.46;10353.34;0
FEMININO;64;SP;APOSENTADO;83.60;2809.38;0
MASCULINO;38;MT;ATIVO PERMANENTE;4436.16;9948.66;0
MASCULINO;52;RJ;ATIVO PERMANENTE;5064.03;10684.70;0
FEMININO;36;DF;CELETISTA EMPREGADO;1888.94;21912.30;0
FEMININO;34;CE;ATIVO PERMANENTE;169.95;5098.98;0
FEMININO;78;RJ;APOSENTADO;137.09;1601.56;0
MASCULINO;51;RJ;ATIVO PERMANENTE;556.05;3888.09;0
FEMININO;51;MG;ATIVO PERMANENTE;6884.30;24481.44;0
MASCULINO;81;DF;APOSENTADO;364.06;16057.74;0
MASCULINO;65;SP;APOSENTADO;1851.00;4469.13;0
MASCULINO;84;PI;APOSENTADO;49.69;1828.03;0
MASCULINO;84;PI;APOSENTADO;114.65;11255.62;0
FEMININO;39;SC;ATIVO PERMANENTE;3380.25;28875.95;0
MASCULINO;39;DF;ATIVO PERMANENTE;1032.54;2949.51;0
FEMININO;48;DF;ATIVO PERMANENTE;1640.97;5578.74;0
MASCULINO;37;GO;ATIVO PERMANENTE;3518.15;6236.37;0
MASCULINO;84;DF;APOSENTADO;108.00;28103.07;0
MASCULINO;46;MG;ATIVO PERMANENTE;2197.40;18936.76;0
MASCULINO;79;PI;APOSENTADO;2326.44;6096.40;0
MASCULINO;84;PI;APOSENTADO;1675.77;25279.36;0
FEMININO;82;MG;APOSENTADO;1460.16;10118.88;0
FEMININO;52;SP;ATIVO PERMANENTE;6827.98;28493.40;0
MASCULINO;75;DF;APOSENTADO;4092.68;19772.20;0
MASCULINO;37;RS;CELETISTA EMPREGADO;6132.19;28566.84;0
MASCULINO;78;AP;APOSENTADO;718.78;4668.40;0
FEMININO;77;PI;APOSENTADO;4507.12;11875.04;0
FEMININO;64;CE;BENEFICIARIO PENSAO;857.30;1938.32;0
FEMININO;66;SP;ATIVO PERMANENTE;372.99;6982.29;0
FEMININO;84;PI;APOSENTADO;820.98;15186.60;0
MASCULINO;78;PI;APOSENTADO;103.82;2040.44;0
FEMININO;40;SP;ATIVO PERMANENTE;993.72;7197.39;0
FEMININO;39;RJ;ATIVO PERMANENTE;885.56;4700.36;0
FEMININO;78;PI;APOSENTADO;92.60;4268.20;0
MASCULINO;76;PA;APOSENTADO;396.74;6053.94;0
FEMININO;68;RJ;BENEFICIARIO PENSAO;1355.86;7683.12;0
MASCULINO;83;SP;APOSENTADO;223.34;2740.05;0
FEMININO;78;RJ;BENEFICIARIO PENSAO;1391.92;6571.58;0
FEMININO;81;MG;APOSENTADO;1398.42;23513.52;0
MASCULINO;40;RS;ATIVO PERMANENTE;354.00;10620.09;0
MASCULINO;39;RS;ATIVO PERMANENTE;171.22;5137.16;0
FEMININO;31;AC;ATIVO PERMANENTE;153.88;4617.52;0
FEMININO;71;PI;APOSENTADO;274.18;2466.20;0
FEMININO;38;RS;CELETISTA EMPREGADO;1585.24;8071.92;0
MASCULINO;37;MA;CELETISTA EMPREGADO;2391.30;4002.92;0
FEMININO;52;RJ;ATIVO PERMANENTE;564.48;10639.15;0
FEMININO;35;DF;ATIVO PERMANENTE;110.73;991.30;0
FEMININO;37;MS;ATIVO PERMANENTE;728.89;1354.55;0
MASCULINO;78;RS;APOSENTADO;1362.82;11218.20;0
MASCULINO;75;SP;APOSENTADO;191.29;9286.35;0
FEMININO;37;SC;ATIVO PERMANENTE;86.68;2600.66;0
FEMININO;69;SP;APOSENTADO;501.20;1685.89;0
FEMININO;78;DF;APOSENTADO;1701.53;9489.66;0
FEMININO;77;RJ;BENEFICIARIO PENSAO;41.08;753.56;0
FEMININO;82;PI;APOSENTADO;1324.58;17940.24;0
MASCULINO;39;PR;ATIVO PERMANENTE;1792.35;4361.16;0
MASCULINO;35;DF;ATIVO PERMANENTE;1747.50;10553.20;0
FEMININO;82;MG;APOSENTADO;46.95;1865.06;0
FEMININO;84;RJ;BENEFICIARIO PENSAO;2108.54;8759.16;0
