"sexo","idade","uf","situacao_funcional","tipo_contrato","pmt_valor","margem_saldo","conceder"
FEMININO,76,PA,APOSENTADO,ESTAVEL,6095.88,3833.28,1
FEMININO,33,AP,ATIVO PERMANENTE,ESTAVEL,363.85,-463.56,1
FEMININO,33,AP,ATIVO PERMANENTE,ESTAVEL,1763.46,-554.88,1
FEMININO,95,RS,APOSENTADO,ESTAVEL,522.84,4095.14,1
MASCULINO,83,DF,APOSENTADO,ESTAVEL,982.32,16390.08,0
FEMININO,52,SP,BENEFICIARIO PENSAO,NAO ESTAVEL,842.54,22.77,1
FEMININO,52,SP,BENEFICIARIO PENSAO,NAO ESTAVEL,842.54,87.06,1
FEMININO,78,PA,APOSENTADO,ESTAVEL,2839.28,6906.69,0
MASCULINO,51,TO,ATIVO PERMANENTE,ESTAVEL,2067.87,-2806.83,1
FEMININO,31,PA,ATIVO PERMANENTE,ESTAVEL,3703.59,3869.94,1
FEMININO,95,SC,APOSENTADO,ESTAVEL,341.80,17098.76,1
FEMININO,83,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,1765.82,1282.41,1
FEMININO,83,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,1577.20,1232.18,1
MASCULINO,79,SE,APOSENTADO,ESTAVEL,12715.01,1.08,1
FEMININO,40,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,2422.72,-1038.30,1
MASCULINO,78,RS,APOSENTADO,ESTAVEL,929.26,13112.60,0
FEMININO,76,SP,APOSENTADO,ESTAVEL,2971.15,6750.00,0
FEMININO,76,SP,APOSENTADO,ESTAVEL,2804.44,9411.24,0
FEMININO,43,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,1776.51,-5273.84,1
FEMININO,43,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,1955.28,-3154.84,1
FEMININO,40,RS,CELETISTA EMPREGADO,ESTAVEL,271.52,1702.07,0
FEMININO,96,PE,APOSENTADO,ESTAVEL,1483.58,-91.37,1
FEMININO,96,PE,APOSENTADO,ESTAVEL,2561.12,8101.05,1
FEMININO,96,PE,APOSENTADO,ESTAVEL,1077.54,5787.72,1
FEMININO,37,RS,ATIVO PERMANENTE,ESTAVEL,4974.81,-857.46,1
FEMININO,86,PR,APOSENTADO,ESTAVEL,213.00,3989.80,1
FEMININO,86,PR,APOSENTADO,ESTAVEL,114.75,2103.93,1
FEMININO,86,PR,APOSENTADO,ESTAVEL,196.50,4240.86,1
FEMININO,94,PR,APOSENTADO,ESTAVEL,43.68,3423.41,1
MASCULINO,32,PA,ATIVO PERMANENTE,ESTAVEL,2735.68,55.76,1
FEMININO,84,PA,APOSENTADO,ESTAVEL,355.68,10551.09,0
FEMININO,84,PA,BENEFICIARIO PENSAO,ESTAVEL,237.12,8352.10,0
MASCULINO,31,PA,ATIVO PERMANENTE,ESTAVEL,2588.76,1947.24,1
FEMININO,88,CE,APOSENTADO,ESTAVEL,331.13,12703.83,1
FEMININO,88,CE,APOSENTADO,ESTAVEL,601.62,17100.72,1
MASCULINO,38,MS,ATIVO PERMANENTE,ESTAVEL,3622.03,1367.07,1
FEMININO,60,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,7515.40,-10258.00,1
FEMININO,60,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,7515.40,-9734.06,1
FEMININO,33,PI,ATIVO PERMANENTE,ESTAVEL,958.73,10815.84,0
FEMININO,33,PI,ATIVO PERMANENTE,ESTAVEL,893.95,7299.72,0
FEMININO,36,CE,ATIVO PERMANENTE,ESTAVEL,5539.81,3835.53,1
FEMININO,36,CE,ATIVO PERMANENTE,ESTAVEL,132.73,3982.05,0
MASCULINO,53,RJ,ATIVO PERMANENTE,ESTAVEL,440.31,-1146.05,1
MASCULINO,53,RJ,ATIVO PERMANENTE,ESTAVEL,1802.60,-1247.70,1
FEMININO,45,SC,ATIVO PERMANENTE,ESTAVEL,7785.14,9903.18,1
MASCULINO,54,AC,ATIVO PERMANENTE,ESTAVEL,468.59,1153.20,0
MASCULINO,54,AC,ATIVO PERMANENTE,ESTAVEL,2146.41,3810.51,0
FEMININO,41,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,406.86,6.00,1
FEMININO,39,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,406.02,12.00,1
FEMININO,64,SP,APOSENTADO,ESTAVEL,274.18,2940.22,0
MASCULINO,39,RS,CELETISTA EMPREGADO,ESTAVEL,2012.72,12915.30,0
MASCULINO,39,RS,CELETISTA EMPREGADO,ESTAVEL,1133.67,9076.26,0
FEMININO,45,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,781.52,1466.72,0
FEMININO,43,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,433.13,77.40,1
FEMININO,43,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,446.74,621.40,0
FEMININO,46,PB,ATIVO PERMANENTE,ESTAVEL,12595.63,-2744.55,1
FEMININO,80,PA,APOSENTADO,ESTAVEL,293.01,7774.20,0
FEMININO,80,PA,APOSENTADO,NAO ESTAVEL,2990.56,5182.80,0
FEMININO,80,PA,BENEFICIARIO PENSAO,ESTAVEL,97.67,690.24,0
FEMININO,80,PA,BENEFICIARIO PENSAO,ESTAVEL,97.67,806.67,0
FEMININO,80,PA,BENEFICIARIO PENSAO,NAO ESTAVEL,1728.77,1380.48,1
FEMININO,80,PA,BENEFICIARIO PENSAO,NAO ESTAVEL,1612.34,1613.34,1
FEMININO,86,PR,APOSENTADO,ESTAVEL,313.50,5805.75,1
FEMININO,86,PR,APOSENTADO,ESTAVEL,89.76,1948.71,1
FEMININO,86,PR,APOSENTADO,ESTAVEL,506.48,12776.70,1
FEMININO,45,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,776.48,-865.62,1
FEMININO,87,MG,APOSENTADO,ESTAVEL,36.00,3375.52,1
FEMININO,87,MG,APOSENTADO,ESTAVEL,36.00,7783.10,1
FEMININO,84,PE,APOSENTADO,ESTAVEL,1061.34,1539.89,0
FEMININO,84,PE,APOSENTADO,ESTAVEL,3184.02,8014.92,0
MASCULINO,47,PB,ATIVO PERMANENTE,ESTAVEL,176.41,5883.52,0
MASCULINO,47,PB,ATIVO PERMANENTE,ESTAVEL,798.30,6001.50,0
FEMININO,38,MS,ATIVO PERMANENTE,ESTAVEL,580.73,1378.86,0
FEMININO,38,MS,ATIVO PERMANENTE,ESTAVEL,611.84,1928.48,0
FEMININO,38,MS,ATIVO PERMANENTE,ESTAVEL,543.24,1914.20,0
FEMININO,38,MS,ATIVO PERMANENTE,ESTAVEL,406.46,1093.88,0
MASCULINO,46,PB,ATIVO PERMANENTE,ESTAVEL,878.74,4378.98,0
MASCULINO,46,PB,ATIVO PERMANENTE,ESTAVEL,1661.77,4557.42,0
FEMININO,89,PA,APOSENTADO,ESTAVEL,5622.68,21603.36,1
MASCULINO,42,AM,ATIVO PERMANENTE,ESTAVEL,3736.54,270.10,1
MASCULINO,42,AM,ATIVO PERMANENTE,ESTAVEL,3736.54,480.78,1
MASCULINO,37,MS,ATIVO PERMANENTE,ESTAVEL,30.00,4550.18,0
MASCULINO,46,RN,ATIVO PERMANENTE,ESTAVEL,1789.34,0.00,1
FEMININO,52,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,723.14,0.00,1
MASCULINO,73,RJ,APOSENTADO,ESTAVEL,2003.41,-5045.97,1
MASCULINO,49,PB,ATIVO PERMANENTE,ESTAVEL,5052.76,15137.10,0
MASCULINO,49,PB,ATIVO PERMANENTE,ESTAVEL,340.12,3274.01,0
FEMININO,31,AM,ATIVO PERMANENTE,ESTAVEL,2528.90,957.88,1
FEMININO,65,SP,BENEFICIARIO PENSAO,NAO ESTAVEL,2229.84,-139.44,1
MASCULINO,38,SC,ATIVO PERMANENTE,ESTAVEL,1657.20,12877.68,0
FEMININO,55,MG,BENEFICIARIO PENSAO,NAO ESTAVEL,4896.88,-165.74,1
MASCULINO,46,SP,ATIVO PERMANENTE,ESTAVEL,10855.09,-3510.92,1
FEMININO,85,PA,APOSENTADO,ESTAVEL,2811.34,-5010.20,1
FEMININO,85,PA,APOSENTADO,ESTAVEL,248.66,2620.26,1
FEMININO,37,CE,ATIVO PERMANENTE,ESTAVEL,1455.87,183.82,1
FEMININO,37,CE,ATIVO PERMANENTE,ESTAVEL,1455.87,856.82,1
FEMININO,80,MG,APOSENTADO,ESTAVEL,54.00,23572.17,0
FEMININO,59,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1388.80,-544.62,1
FEMININO,47,AC,ATIVO PERMANENTE,ESTAVEL,5593.32,-1507.53,1
FEMININO,91,PA,APOSENTADO,ESTAVEL,1554.32,4367.92,1
FEMININO,94,PA,APOSENTADO,ESTAVEL,78.02,1885.13,1
FEMININO,94,PA,APOSENTADO,ESTAVEL,156.04,3838.76,1
FEMININO,75,RJ,APOSENTADO,ESTAVEL,5106.64,-325.84,1
MASCULINO,75,PA,APOSENTADO,ESTAVEL,3721.18,2055.96,1
MASCULINO,75,PA,APOSENTADO,ESTAVEL,3721.18,2104.36,1
MASCULINO,37,PI,ATIVO PERMANENTE,ESTAVEL,1691.41,14554.70,0
FEMININO,45,MG,ATIVO PERMANENTE,ESTAVEL,111.82,2795.50,0
MASCULINO,36,PI,CELETISTA EMPREGADO,ESTAVEL,3164.40,9498.66,0
MASCULINO,31,RO,ATIVO PERMANENTE,ESTAVEL,5867.93,-927.10,1
MASCULINO,55,RJ,ATIVO PERMANENTE,ESTAVEL,1989.96,-279.00,1
FEMININO,46,MT,ATIVO PERMANENTE,ESTAVEL,372.62,5226.47,0
FEMININO,82,CE,APOSENTADO,ESTAVEL,747.38,4443.94,0
FEMININO,80,PA,APOSENTADO,ESTAVEL,2175.71,4025.42,0
FEMININO,80,PA,BENEFICIARIO PENSAO,ESTAVEL,2122.92,17004.12,0
FEMININO,81,PA,APOSENTADO,ESTAVEL,331.14,2107.66,0
FEMININO,82,CE,APOSENTADO,ESTAVEL,540.96,9043.74,0
MASCULINO,37,SP,ATIVO PERMANENTE,ESTAVEL,358.90,10767.48,0
FEMININO,45,PB,ATIVO PERMANENTE,ESTAVEL,382.25,6499.45,0
FEMININO,41,BA,ATIVO PERMANENTE,ESTAVEL,164.00,242.84,0
MASCULINO,93,MG,APOSENTADO,ESTAVEL,522.84,4346.12,1
FEMININO,43,PB,ATIVO PERMANENTE,ESTAVEL,2230.23,1666.60,1
FEMININO,43,PB,ATIVO PERMANENTE,ESTAVEL,1852.69,2047.48,1
MASCULINO,39,RS,ATIVO PERMANENTE,ESTAVEL,165.91,4977.57,0
FEMININO,37,CE,ATIVO PERMANENTE,ESTAVEL,63.96,2494.76,0
MASCULINO,91,MG,APOSENTADO,ESTAVEL,2905.41,9587.05,1
MASCULINO,91,MG,APOSENTADO,ESTAVEL,3029.74,13575.90,1
MASCULINO,43,DF,ATIVO PERMANENTE,ESTAVEL,3526.28,6317.00,0
MASCULINO,32,PA,ATIVO PERMANENTE,ESTAVEL,994.11,2884.41,0
FEMININO,84,SP,APOSENTADO,ESTAVEL,156.64,2646.56,0
FEMININO,84,SP,APOSENTADO,ESTAVEL,1390.54,2711.18,0
FEMININO,39,RS,CELETISTA EMPREGADO,ESTAVEL,1430.17,-46.45,1
MASCULINO,55,RJ,CELETISTA EMPREGADO,ESTAVEL,3347.24,-1499.22,1
FEMININO,39,SC,ATIVO PERMANENTE,ESTAVEL,10744.06,8866.80,1
FEMININO,52,RJ,ATIVO PERMANENTE,ESTAVEL,6647.77,-22620.60,1
MASCULINO,39,MT,ATIVO PERMANENTE,ESTAVEL,1221.88,1761.46,0
MASCULINO,90,RS,CLT APS DEC JUDICIAL,ESTAVEL,672.74,431.70,1
MASCULINO,90,RS,CLT APS DEC JUDICIAL,ESTAVEL,350.43,563.25,1
FEMININO,41,RS,ATIVO PERMANENTE,ESTAVEL,4633.88,-802.05,1
FEMININO,86,SP,APOSENTADO,ESTAVEL,77.10,1653.68,1
FEMININO,86,SP,APOSENTADO,ESTAVEL,231.30,10130.04,1
FEMININO,52,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1730.80,-135.00,1
FEMININO,90,BA,BENEFICIARIO PENSAO,NAO ESTAVEL,2135.38,3447.66,1
FEMININO,70,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,3587.84,-2446.36,1
FEMININO,70,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,3133.84,3630.38,1
FEMININO,75,MT,BENEFICIARIO PENSAO,NAO ESTAVEL,2300.18,1663.34,1
FEMININO,39,RS,ATIVO PERMANENTE,ESTAVEL,4629.68,-1760.92,1
MASCULINO,36,MT,ATIVO PERMANENTE,ESTAVEL,1248.27,18317.55,0
MASCULINO,77,PA,APOSENTADO,ESTAVEL,2424.26,-2552.29,1
FEMININO,37,CE,ATIVO PERMANENTE,ESTAVEL,9122.10,-9455.40,1
FEMININO,39,RS,CELETISTA EMPREGADO,ESTAVEL,2046.47,1871.16,1
FEMININO,35,AM,ATIVO PERMANENTE,ESTAVEL,3126.06,-442.48,1
FEMININO,81,PA,APOSENTADO,ESTAVEL,117.84,6755.46,0
MASCULINO,38,RS,ATIVO PERMANENTE,ESTAVEL,12931.76,26392.10,0
FEMININO,75,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1530.92,2700.84,0
FEMININO,56,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,157.42,915.52,0
FEMININO,89,RJ,APOSENTADO,ESTAVEL,101.88,7696.38,1
FEMININO,89,RJ,APOSENTADO,NAO ESTAVEL,61.60,5130.92,1
FEMININO,89,RJ,BENEFICIARIO PENSAO,ESTAVEL,67.92,3416.46,1
FEMININO,89,RJ,BENEFICIARIO PENSAO,ESTAVEL,67.92,8786.26,1
FEMININO,89,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,61.60,3416.46,1
FEMININO,89,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,61.60,8786.26,1
MASCULINO,81,PR,APOSENTADO,ESTAVEL,73.43,1710.46,0
MASCULINO,53,RJ,ATIVO PERMANENTE,ESTAVEL,2304.03,1997.34,1
FEMININO,77,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,1768.40,996.72,1
FEMININO,77,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,1765.40,1008.72,1
MASCULINO,46,MG,ATIVO PERMANENTE,ESTAVEL,50.00,5960.14,0
MASCULINO,84,PA,APOSENTADO,ESTAVEL,1562.74,12523.56,0
MASCULINO,84,PA,APOSENTADO,ESTAVEL,1961.00,18143.32,0
FEMININO,88,MG,APOSENTADO,ESTAVEL,36.00,7193.94,1
FEMININO,70,MA,BENEFICIARIO PENSAO,NAO ESTAVEL,3766.56,-1406.46,1
FEMININO,78,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,599.10,1069.82,0
FEMININO,72,RJ,APOSENTADO,ESTAVEL,824.86,11141.50,0
FEMININO,79,MG,APOSENTADO,ESTAVEL,65.10,1607.73,0
FEMININO,79,MG,APOSENTADO,ESTAVEL,55.75,1617.08,0
FEMININO,83,PR,APOSENTADO,ESTAVEL,130.71,2108.11,0
MASCULINO,37,DF,ATIVO PERMANENTE,ESTAVEL,659.42,5319.50,0
FEMININO,85,DF,APOSENTADO,ESTAVEL,197.04,9906.06,1
MASCULINO,48,RJ,ATIVO PERMANENTE,ESTAVEL,978.02,-1691.22,1
MASCULINO,48,RJ,ATIVO PERMANENTE,ESTAVEL,8007.17,-4118.50,1
MASCULINO,54,SP,CEDIDO SUS LEI 8270,ESTAVEL,1327.52,136.82,1
FEMININO,67,SP,APOSENTADO,ESTAVEL,4217.01,3940.02,1
FEMININO,39,RS,CELETISTA EMPREGADO,ESTAVEL,4520.00,109.86,1
FEMININO,39,RS,CELETISTA EMPREGADO,ESTAVEL,2260.00,273.73,1
FEMININO,33,CE,ATIVO PERMANENTE,ESTAVEL,59.24,2310.98,0
MASCULINO,55,SC,CELETISTA EMPREGADO,ESTAVEL,1732.77,0.00,1
FEMININO,99,RN,APOSENTADO,ESTAVEL,5219.14,10711.90,1
FEMININO,61,RJ,ATIVO PERMANENTE,ESTAVEL,2840.20,-3738.69,1
MASCULINO,41,BA,ATIVO PERMANENTE,ESTAVEL,729.52,21886.52,0
MASCULINO,42,SE,ATIVO PERMANENTE,ESTAVEL,534.49,2435.47,0
FEMININO,38,DF,ATIVO PERMANENTE,ESTAVEL,5903.11,-2586.92,1
MASCULINO,53,MG,ATIVO PERMANENTE,ESTAVEL,6334.91,-332.14,1
FEMININO,96,MG,APOSENTADO,ESTAVEL,4342.20,12981.28,1
FEMININO,96,MG,APOSENTADO,ESTAVEL,2906.80,11700.54,1
FEMININO,53,RJ,ATIVO PERMANENTE,ESTAVEL,386.76,86.14,1
FEMININO,52,ES,ATIVO PERMANENTE,ESTAVEL,75.28,272.32,0
FEMININO,51,ES,ATIVO PERMANENTE,ESTAVEL,4747.53,2663.64,1
MASCULINO,78,SP,APOSENTADO,ESTAVEL,1416.14,-1612.79,1
FEMININO,38,GO,CELETISTA EMPREGADO,ESTAVEL,358.82,860.80,0
FEMININO,38,GO,CELETISTA EMPREGADO,ESTAVEL,358.82,1129.69,0
FEMININO,78,MG,APOSENTADO,ESTAVEL,9573.20,32151.06,0
MASCULINO,36,DF,ATIVO PERMANENTE,ESTAVEL,5070.14,-1347.72,1
FEMININO,86,PE,APOSENTADO,ESTAVEL,110.49,5313.92,1
FEMININO,86,PE,APOSENTADO,ESTAVEL,306.96,10904.44,1
FEMININO,86,PE,APOSENTADO,ESTAVEL,220.98,8396.13,1
MASCULINO,38,PI,ATIVO PERMANENTE,ESTAVEL,5200.14,-741.04,1
MASCULINO,46,MG,ATIVO PERMANENTE,ESTAVEL,1824.54,12810.04,0
FEMININO,88,RS,APOSENTADO,ESTAVEL,248.66,2283.67,1
FEMININO,49,MG,BENEFICIARIO PENSAO,NAO ESTAVEL,4841.02,-269.88,1
FEMININO,32,PA,ATIVO PERMANENTE,ESTAVEL,159.27,4778.94,0
FEMININO,84,PA,APOSENTADO,ESTAVEL,123.20,8223.76,0
FEMININO,84,PA,APOSENTADO,ESTAVEL,154.00,10537.70,0
FEMININO,84,MG,APOSENTADO,ESTAVEL,4110.64,22341.56,0
FEMININO,84,MG,APOSENTADO,ESTAVEL,7580.72,28691.70,0
FEMININO,36,DF,ATIVO PERMANENTE,ESTAVEL,6124.05,9138.78,0
FEMININO,57,RJ,APOSENTADO,ESTAVEL,12571.38,1160.88,1
MASCULINO,79,PA,APOSENTADO,ESTAVEL,836.92,10117.16,0
FEMININO,54,RJ,ATIVO PERMANENTE,ESTAVEL,227.33,5451.36,0
FEMININO,53,PE,ATIVO PERMANENTE,ESTAVEL,410.60,12318.00,0
FEMININO,80,PA,APOSENTADO,ESTAVEL,94.92,2847.63,0
FEMININO,47,RR,ATIVO PERMANENTE,ESTAVEL,5999.62,3539.27,1
FEMININO,32,PA,ATIVO PERMANENTE,ESTAVEL,2453.42,-957.57,1
FEMININO,32,PA,ATIVO PERMANENTE,ESTAVEL,135.23,-748.86,1
FEMININO,82,PA,APOSENTADO,ESTAVEL,2674.25,-3440.88,1
FEMININO,82,PA,APOSENTADO,ESTAVEL,1450.67,396.48,1
FEMININO,82,PA,BENEFICIARIO PENSAO,ESTAVEL,2833.84,6569.00,0
FEMININO,82,PA,BENEFICIARIO PENSAO,ESTAVEL,2833.84,6738.00,0
MASCULINO,65,SP,APOSENTADO,ESTAVEL,183.03,10283.32,0
FEMININO,86,MG,APOSENTADO,ESTAVEL,2175.19,11448.18,1
MASCULINO,57,MG,CEDIDO SUS LEI 8270,ESTAVEL,2547.01,-2892.78,1
MASCULINO,64,RN,APOSENTADO,ESTAVEL,855.69,7946.90,0
FEMININO,89,PR,APOSENTADO,ESTAVEL,1023.67,15640.08,1
FEMININO,89,PR,APOSENTADO,ESTAVEL,418.76,12123.54,1
FEMININO,89,PR,APOSENTADO,ESTAVEL,162.24,8098.08,1
MASCULINO,32,PR,ATIVO PERMANENTE,ESTAVEL,1706.34,7930.40,0
MASCULINO,32,PR,ATIVO PERMANENTE,ESTAVEL,1627.48,6535.80,0
FEMININO,38,MA,ATIVO PERMANENTE,ESTAVEL,863.40,13126.50,0
FEMININO,94,PR,BENEFICIARIO PENSAO,NAO ESTAVEL,1528.27,1624.05,1
FEMININO,94,PR,BENEFICIARIO PENSAO,NAO ESTAVEL,1405.67,1327.90,1
FEMININO,36,CE,CELETISTA EMPREGADO,ESTAVEL,496.77,1041.05,0
FEMININO,36,CE,CELETISTA EMPREGADO,ESTAVEL,496.77,1041.43,0
FEMININO,38,RS,ATIVO PERMANENTE,ESTAVEL,4029.06,7870.08,0
FEMININO,74,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1454.42,899.80,1
MASCULINO,51,RJ,ATIVO PERMANENTE,ESTAVEL,436.68,13033.38,0
MASCULINO,53,RJ,CEDIDO SUS LEI 8270,ESTAVEL,3470.61,3.84,1
MASCULINO,29,AM,ATIVO PERMANENTE,ESTAVEL,2878.25,1193.70,1
MASCULINO,36,GO,ATIVO PERMANENTE,ESTAVEL,1966.40,2599.98,1
FEMININO,83,PA,APOSENTADO,ESTAVEL,379.57,13187.04,0
MASCULINO,32,AM,ATIVO PERMANENTE,ESTAVEL,6034.97,13481.40,0
FEMININO,66,RS,BENEFICIARIO PENSAO,NAO ESTAVEL,10713.48,2485.36,1
FEMININO,39,CE,BENEFICIARIO PENSAO,NAO ESTAVEL,1331.58,475.66,1
FEMININO,39,CE,BENEFICIARIO PENSAO,NAO ESTAVEL,633.49,935.92,0
FEMININO,77,PA,APOSENTADO,ESTAVEL,5663.77,6549.00,1
FEMININO,37,TO,ATIVO PERMANENTE,ESTAVEL,1301.14,-865.53,1
FEMININO,37,TO,ATIVO PERMANENTE,ESTAVEL,1272.16,-512.48,1
FEMININO,86,RS,APOSENTADO,ESTAVEL,1496.88,3659.46,1
FEMININO,86,RS,BENEFICIARIO PENSAO,ESTAVEL,997.92,1551.98,1
FEMININO,79,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1017.64,2691.34,0
MASCULINO,85,CE,APOSENTADO,ESTAVEL,3607.64,1750.20,1
MASCULINO,85,CE,APOSENTADO,ESTAVEL,3004.00,11919.67,1
MASCULINO,85,CE,APOSENTADO,ESTAVEL,842.30,6839.36,1
MASCULINO,38,DF,ATIVO PERMANENTE,ESTAVEL,493.66,2063.01,0
MASCULINO,37,DF,ATIVO PERMANENTE,ESTAVEL,1559.34,7423.89,0
MASCULINO,85,CE,APOSENTADO,ESTAVEL,988.82,4668.52,1
MASCULINO,85,CE,APOSENTADO,ESTAVEL,988.82,4683.52,1
FEMININO,63,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,337.94,2179.28,0
FEMININO,53,BA,BENEFICIARIO PENSAO,NAO ESTAVEL,2367.84,-1688.72,1
FEMININO,82,CE,APOSENTADO,ESTAVEL,2988.00,-188.22,1
FEMININO,37,DF,NOMEADO CARGO COMIS,ESTAVEL,920.80,3998.30,0
FEMININO,85,PR,APOSENTADO,ESTAVEL,715.51,7667.88,1
FEMININO,85,PR,APOSENTADO,ESTAVEL,718.75,10507.72,1
FEMININO,85,PR,APOSENTADO,ESTAVEL,793.26,22802.70,1
FEMININO,87,DF,APOSENTADO,ESTAVEL,1000.41,5562.72,1
FEMININO,91,PR,APOSENTADO,ESTAVEL,55.08,1663.70,1
FEMININO,95,BA,APOSENTADO,ESTAVEL,30.86,1489.10,1
MASCULINO,54,RJ,CEDIDO SUS LEI 8270,ESTAVEL,513.17,2240.92,0
MASCULINO,54,RJ,CEDIDO SUS LEI 8270,ESTAVEL,512.57,2242.12,0
FEMININO,43,CE,BENEFICIARIO PENSAO,NAO ESTAVEL,775.26,1051.92,0
MASCULINO,36,DF,ATIVO PERMANENTE,ESTAVEL,1513.68,107.36,1
MASCULINO,36,DF,ATIVO PERMANENTE,ESTAVEL,1515.82,1618.90,1
FEMININO,94,CE,BENEFICIARIO PENSAO,NAO ESTAVEL,337.94,2103.06,1
MASCULINO,63,SP,ATIVO PERMANENTE,ESTAVEL,831.87,795.21,1
MASCULINO,63,SP,ATIVO PERMANENTE,ESTAVEL,831.87,812.58,1
FEMININO,88,RJ,APOSENTADO,ESTAVEL,2976.25,18266.29,1
FEMININO,80,MG,APOSENTADO,ESTAVEL,325.89,1695.79,0
MASCULINO,83,PE,APOSENTADO,ESTAVEL,2633.30,2059.82,1
MASCULINO,83,PE,APOSENTADO,ESTAVEL,1272.00,2282.58,0
MASCULINO,83,PE,APOSENTADO,ESTAVEL,2453.99,9342.81,0
MASCULINO,83,PE,APOSENTADO,ESTAVEL,2723.31,9938.16,0
FEMININO,53,RJ,ATIVO PERMANENTE,ESTAVEL,2364.25,-4931.10,1
MASCULINO,86,CE,APOSENTADO,ESTAVEL,784.26,6025.83,1
MASCULINO,86,CE,APOSENTADO,ESTAVEL,522.84,4311.44,1
FEMININO,55,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,2387.52,-3875.04,1
MASCULINO,72,PE,BENEFICIARIO PENSAO,NAO ESTAVEL,2042.46,-759.36,1
FEMININO,39,DF,ATIVO PERMANENTE,ESTAVEL,322.12,1654.14,0
FEMININO,93,AM,APOSENTADO,ESTAVEL,1438.54,20045.61,1
FEMININO,93,AM,APOSENTADO,ESTAVEL,2781.08,26919.48,1
FEMININO,39,RS,ATIVO PERMANENTE,ESTAVEL,7765.26,-3914.70,1
MASCULINO,37,SP,ATIVO PERMANENTE,ESTAVEL,33.81,2366.52,0
MASCULINO,37,SP,ATIVO PERMANENTE,ESTAVEL,2648.05,11165.04,0
MASCULINO,38,RS,ATIVO PERMANENTE,ESTAVEL,1484.70,756.92,1
FEMININO,72,RO,BENEFICIARIO PENSAO,NAO ESTAVEL,1826.16,966.93,1
FEMININO,72,RO,BENEFICIARIO PENSAO,NAO ESTAVEL,130.71,571.27,0
FEMININO,57,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,32.32,937.58,0
FEMININO,54,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,32.32,937.58,0
FEMININO,37,SP,ATIVO PERMANENTE,ESTAVEL,482.94,9005.74,0
FEMININO,37,SP,ATIVO PERMANENTE,ESTAVEL,241.47,6304.34,0
MASCULINO,61,RJ,APOSENTADO,ESTAVEL,363.50,1042.64,0
MASCULINO,87,BA,APOSENTADO,ESTAVEL,3178.00,14475.00,1
FEMININO,55,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,158.87,-47.40,1
FEMININO,55,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,158.87,237.22,0
MASCULINO,39,PR,ATIVO PERMANENTE,ESTAVEL,4211.46,-2183.67,1
MASCULINO,39,PR,ATIVO PERMANENTE,ESTAVEL,4768.65,-2228.08,1
FEMININO,69,SP,APOSENTADO,ESTAVEL,5023.04,2279.96,1
MASCULINO,87,AM,APOSENTADO,ESTAVEL,1709.71,12722.74,1
MASCULINO,87,AM,APOSENTADO,ESTAVEL,435.63,7635.45,1
FEMININO,54,RJ,ATIVO PERMANENTE,ESTAVEL,578.60,5554.32,0
FEMININO,54,RJ,ATIVO PERMANENTE,ESTAVEL,1878.99,11219.52,0
FEMININO,38,GO,NOMEADO CARGO COMIS,ESTAVEL,4908.76,-1720.89,1
FEMININO,38,GO,NOMEADO CARGO COMIS,ESTAVEL,4194.95,-865.08,1
FEMININO,52,RJ,ATIVO PERMANENTE,ESTAVEL,3544.61,2204.01,1
FEMININO,52,RJ,NAO INFORMADO,ESTAVEL,364.75,0.00,1
MASCULINO,52,RJ,ATIVO PERMANENTE,ESTAVEL,460.38,4955.05,0
FEMININO,53,PE,BENEFICIARIO PENSAO,NAO ESTAVEL,1514.68,-1127.40,1
